,lon,lat,datetime,precip,altitude
2432,73.5,25.25,1983-01-01,828.56995,354.0
2434,73.5,25.25,1985-01-01,415.6361,354.0
2435,73.5,25.25,1986-01-01,440.32318,354.0
2436,73.5,25.25,1987-01-01,287.1027,354.0
2437,73.5,25.25,1988-01-01,581.5426,354.0
2438,73.5,25.25,1989-01-01,542.26654,354.0
2439,73.5,25.25,1990-01-01,914.8131,354.0
2440,73.5,25.25,1991-01-01,389.14722,354.0
2441,73.5,25.25,1992-01-01,803.76385,354.0
2442,73.5,25.25,1993-01-01,393.3434,354.0
2443,73.5,25.25,1994-01-01,985.9861,354.0
2444,73.5,25.25,1995-01-01,560.9998,354.0
2445,73.5,25.25,1996-01-01,738.4663,354.0
2446,73.5,25.25,1997-01-01,776.07733,354.0
2447,73.5,25.25,1998-01-01,548.73145,354.0
2448,73.5,25.25,1999-01-01,408.38568,354.0
2449,73.5,25.25,2000-01-01,382.5882,354.0
2450,73.5,25.25,2001-01-01,497.4096,354.0
2451,73.5,25.25,2002-01-01,316.31873,354.0
2452,73.5,25.25,2003-01-01,512.5365,354.0
2453,73.5,25.25,2004-01-01,653.8491,354.0
2454,73.5,25.25,2005-01-01,626.77344,354.0
2455,73.5,25.25,2006-01-01,690.1126,354.0
2456,73.5,25.25,2007-01-01,673.686,354.0
2457,73.5,25.25,2008-01-01,486.91962,354.0
2458,73.5,25.25,2009-01-01,470.70142,354.0
2459,73.5,25.25,2010-01-01,810.848,354.0
2460,73.5,25.25,2011-01-01,912.7007,354.0
2461,73.5,25.25,2012-01-01,669.3548,354.0
2462,73.5,25.25,2013-01-01,800.64307,354.0
2463,73.5,25.25,2014-01-01,680.20465,354.0
2464,73.5,25.25,2015-01-01,732.2088,354.0
2465,73.5,25.25,2016-01-01,829.9876,354.0
2466,73.5,25.25,2017-01-01,605.1649,354.0
2467,73.5,25.25,2018-01-01,575.82733,354.0
2468,73.5,25.25,2019-01-01,910.3539,354.0
2469,73.5,25.25,2020-01-01,825.7272,354.0
2470,73.5,25.0,1983-01-01,824.7343,880.0
2472,73.5,25.0,1985-01-01,467.5365,880.0
2473,73.5,25.0,1986-01-01,476.6535,880.0
2474,73.5,25.0,1987-01-01,342.38895,880.0
2475,73.5,25.0,1988-01-01,592.7338,880.0
2476,73.5,25.0,1989-01-01,610.0107,880.0
2477,73.5,25.0,1990-01-01,959.5764,880.0
2478,73.5,25.0,1991-01-01,459.51447,880.0
2479,73.5,25.0,1992-01-01,801.0443,880.0
2480,73.5,25.0,1993-01-01,401.52032,880.0
2481,73.5,25.0,1994-01-01,1041.1052,880.0
2482,73.5,25.0,1995-01-01,574.9519,880.0
2483,73.5,25.0,1996-01-01,793.1329,880.0
2484,73.5,25.0,1997-01-01,779.2805,880.0
2485,73.5,25.0,1998-01-01,617.7422,880.0
2486,73.5,25.0,1999-01-01,441.5421,880.0
2487,73.5,25.0,2000-01-01,421.46185,880.0
2488,73.5,25.0,2001-01-01,562.25635,880.0
2489,73.5,25.0,2002-01-01,339.27325,880.0
2490,73.5,25.0,2003-01-01,590.80304,880.0
2491,73.5,25.0,2004-01-01,683.159,880.0
2492,73.5,25.0,2005-01-01,671.4291,880.0
2493,73.5,25.0,2006-01-01,797.4549,880.0
2494,73.5,25.0,2007-01-01,825.97485,880.0
2495,73.5,25.0,2008-01-01,554.7606,880.0
2496,73.5,25.0,2009-01-01,537.43134,880.0
2497,73.5,25.0,2010-01-01,821.8054,880.0
2498,73.5,25.0,2011-01-01,908.51416,880.0
2499,73.5,25.0,2012-01-01,716.5016,880.0
2500,73.5,25.0,2013-01-01,881.2359,880.0
2501,73.5,25.0,2014-01-01,761.70886,880.0
2502,73.5,25.0,2015-01-01,746.9218,880.0
2503,73.5,25.0,2016-01-01,901.22754,880.0
2504,73.5,25.0,2017-01-01,668.6492,880.0
2505,73.5,25.0,2018-01-01,616.68567,880.0
2506,73.5,25.0,2019-01-01,982.26404,880.0
2507,73.5,25.0,2020-01-01,800.6987,880.0
2508,73.5,24.75,1983-01-01,859.7141,883.0
2510,73.5,24.75,1985-01-01,501.02628,883.0
2511,73.5,24.75,1986-01-01,477.5006,883.0
2512,73.5,24.75,1987-01-01,376.4129,883.0
2513,73.5,24.75,1988-01-01,623.94,883.0
2514,73.5,24.75,1989-01-01,639.92505,883.0
2515,73.5,24.75,1990-01-01,1055.6464,883.0
2516,73.5,24.75,1991-01-01,507.27118,883.0
2517,73.5,24.75,1992-01-01,811.18353,883.0
2518,73.5,24.75,1993-01-01,471.93207,883.0
2519,73.5,24.75,1994-01-01,1076.3552,883.0
2520,73.5,24.75,1995-01-01,588.2165,883.0
